lr=0.01_loss=BCE_arch=basic,0.08310618029700385,0.06699632693496016,0.0636763141469823,0.06067747890121407,0.058318533698717756
lr=0.01_loss=BCE_arch=shallow,0.08399069646994273,0.06722781529857053,0.06381052390568787,0.06117295468846957,0.05935034347077211
lr=0.01_loss=BCE_arch=deep,0.07930747783846326,0.06611279965274863,0.0627660061005089,0.05993222197724713,0.057542870682146814
lr=0.01_loss=Dice_arch=basic,0.34876173403528,0.3063450352350871,0.3009650598631965,0.29558628731303743,0.2931216428014967
lr=0.01_loss=Dice_arch=shallow,0.3490664263566335,0.3026695693863763,0.2974146499898699,0.29663896282513935,0.29100040674209593
lr=0.01_loss=Dice_arch=deep,0.3519890550772349,0.3053209438588884,0.2986049611038632,0.29567311141226027,0.2883742194705539
lr=0.001_loss=BCE_arch=basic,0.11217088920374711,0.06382525774339835,0.059538566867510474,0.05652186354001363,0.05400187553630935
lr=0.001_loss=BCE_arch=shallow,0.17366279636820156,0.06631575691203276,0.06027209296822548,0.05752067467404737,0.05528888056675593
lr=0.001_loss=BCE_arch=deep,0.13290661019583544,0.06963462142480745,0.06457293998036119,0.06100271957616011,0.05851991735398769
lr=0.001_loss=Dice_arch=basic,0.4014327857229445,0.29661139024628536,0.28730944328837926,0.283558271990882,0.2791931678189172
lr=0.001_loss=Dice_arch=shallow,0.4917076973120372,0.30098221116595797,0.28991539279619855,0.28217242585288155,0.2767516114976671
lr=0.001_loss=Dice_arch=deep,0.3997814986440871,0.2959313762187958,0.2873531189229753,0.2827759639422099,0.27663160390324065
lr=0.0001_loss=BCE_arch=basic,0.21948765188455582,0.11332116943266657,0.08248395759198401,0.06778364949756198,0.05867392039961285
lr=0.0001_loss=BCE_arch=shallow,0.4204795213540395,0.25703224814600417,0.17901117662588756,0.1337386928498745,0.10673741093940205
lr=0.0001_loss=BCE_arch=deep,0.39445359455214607,0.22374817844894196,0.1491919893357489,0.11050944126314587,0.08955866646435526
lr=0.0001_loss=Dice_arch=basic,0.6913640028900571,0.555260171227985,0.4660306437810262,0.3909776499536302,0.33295504093170164
lr=0.0001_loss=Dice_arch=shallow,0.7556270106633505,0.6500475641091664,0.571350956360499,0.5053115656640794,0.4399863272243076
lr=0.0001_loss=Dice_arch=deep,0.6862770949469672,0.5385090107387966,0.4176514461305406,0.3284909011258019,0.29308182027604845
